EmployeeKey;ParentEmployeeKey;EmployeeNationalIDAlternateKey;ParentEmployeeNationalIDAlternateKey;FirstName;LastName;MiddleName;NameStyle;Title;HireDate;BirthDate;LoginID;EmailAddress;Phone;MaritalStatus;EmergencyContactName;EmergencyContactPhone;SalariedFlag;Gender;PayFrequency;BaseRate;VacationHours;SickLeaveHours;CurrentFlag;SalesPersonFlag;DepartmentName;Position
20;23;494170342;277173473;John;Campbell;T;FALSE;Production Supervisor - WC60;16/10/2007;07/03/1956;AW\john-campbell;john-campbell@adventureworks.com;435-555-0113;M;John Campbell;435-555-0113;FALSE;M;2;25;81;60;TRUE;FALSE;Production;
21;189;9659517;33237992;Diane;Glimp;R;FALSE;Production Technician - WC10;27/10/2007;28/10/1955;AW\diane-glimp;diane-glimp@adventureworks.com;202-555-0151;M;Diane Glimp;202-555-0151;FALSE;F;1;13,45;87;63;TRUE;FALSE;Production;
22;177;443968955;578935259;Steven;Selikoff;T;FALSE;Production Technician - WC30;01/07/2008;12/12/1976;AW\steven-selikoff;steven-selikoff@adventureworks.com;925-555-0114;M;Steven Selikoff;925-555-0114;FALSE;M;1;9,5;41;40;TRUE;FALSE;Production;
23;112;277173473;295847284;Peter;Krebs;J;FALSE;Production Control Manager;01/07/2008;03/06/1982;AW\peter-krebs;peter-krebs@adventureworks.com;913-555-0196;M;Peter Krebs;913-555-0196;TRUE;M;2;24,5192;43;41;TRUE;FALSE;Production Control;
24;201;835460180;332349500;Stuart;Munson;V;FALSE;Production Technician - WC45;02/07/2008;13/04/1962;AW\stuart-munson;stuart-munson@adventureworks.com;413-555-0136;S;Stuart Munson;413-555-0136;FALSE;M;1;10;84;62;TRUE;FALSE;Production;
25;201;687685941;332349500;Greg;Alderson;F;FALSE;Production Technician - WC45;02/07/2008;15/11/1975;AW\greg-alderson;greg-alderson@adventureworks.com;332-555-0150;S;Greg Alderson;332-555-0150;FALSE;M;1;10;85;62;TRUE;FALSE;Production;
26;188;498138869;60114406;David;Johnson;N;FALSE;Production Technician - WC30;02/07/2008;02/06/1979;SQLSERVER2017\LabUser;david-johnson@adventureworks.com;166-555-0162;S;David Johnson;166-555-0162;FALSE;M;1;9,5;25;32;TRUE;FALSE;Production;
27;23;360868122;277173473;Zheng;Mu;W;FALSE;Production Supervisor - WC10;03/07/2008;26/05/1983;AW\zheng-mu;zheng-mu@adventureworks.com;113-555-0173;S;Zheng Mu;113-555-0173;FALSE;M;2;25;66;53;TRUE;FALSE;Production;
28;111;964089218;45615666;Ivo;Salmre;William;FALSE;Production Technician - WC20;04/07/2008;03/08/1981;AW\ivo-salmre;ivo-salmre@adventureworks.com;115-555-0179;M;Ivo Salmre;115-555-0179;FALSE;M;1;14;9;24;TRUE;FALSE;Production;
29;89;384162788;750905084;Paul;Komosinski;B;FALSE;Production Technician - WC40;04/07/2008;13/06/1980;AW\paul-komosinski;paul-komosinski@adventureworks.com;147-555-0160;S;Paul Komosinski;147-555-0160;FALSE;M;1;15;68;54;TRUE;FALSE;Production;
30;154;749389530;858323870;Ashvini;Sharma;R;FALSE;Network Administrator;04/07/2008;25/10/1976;AW\ashvini-sharma;ashvini-sharma@adventureworks.com;656-555-0119;S;Ashvini Sharma;656-555-0119;FALSE;M;2;32,4519;70;55;TRUE;FALSE;Information Services;
31;16;571658797;233069302;Kendall;Keil;C;FALSE;Production Technician - WC50;05/07/2008;28/12/1985;AW\kendall-keil;kendall-keil@adventureworks.com;138-555-0128;M;Kendall Keil;138-555-0128;FALSE;M;1;11;11;25;TRUE;FALSE;Production;
32;143;535145551;184188301;Paula;Barreto de Mattos;M;FALSE;Human Resources Manager;06/07/2008;11/09/1975;AW\paula-barreto;paula-barreto-de-mattos@adventureworks.com;523-555-0175;M;Paula Barreto de Mattos;523-555-0175;TRUE;F;2;27,1394;54;47;TRUE;FALSE;Human Resources;
33;214;761597760;634335025;Alejandro;McGuel;E;FALSE;Production Technician - WC40;06/07/2008;05/07/1988;AW\alejandro-mcguel;alejandro-mcguel@adventureworks.com;668-555-0130;S;Alejandro McGuel;668-555-0130;FALSE;M;1;15;52;46;TRUE;FALSE;Production;
34;188;271438431;60114406;Garrett;Young;R;FALSE;Production Technician - WC30;07/07/2008;25/03/1984;AW\garrett-young;garrett-young@adventureworks.com;609-555-0179;S;Garrett Young;609-555-0179;FALSE;M;1;9,5;34;37;TRUE;FALSE;Production;
35;138;160739235;386315192;Jian Shuo;Wang;;FALSE;Production Technician - WC30;07/07/2008;24/02/1983;AW\jian shuo-wang;jian shuo-wang@adventureworks.com;952-555-0178;S;Jian Shuo Wang;952-555-0178;FALSE;M;1;9,5;36;38;TRUE;FALSE;Production;
36;87;586486572;521265716;Susan;Eaton;W;FALSE;Stocker;07/07/2008;17/09/1977;AW\susan-eaton;susan-eaton@adventureworks.com;943-555-0196;S;Susan Eaton;943-555-0196;FALSE;F;1;9;97;68;TRUE;FALSE;Shipping and Receiving;
37;87;337752649;521265716;Vamsi;Kuppa;N;FALSE;Shipping and Receiving Clerk;07/07/2008;16/10/1976;AW\vamsi-kuppa;vamsi-kuppa@adventureworks.com;937-555-0137;M;Vamsi Kuppa;937-555-0137;FALSE;M;2;9,5;95;67;TRUE;FALSE;Shipping and Receiving;
38;40;113695504;630184120;Alice;Ciccu;O;FALSE;Production Technician - WC50;07/07/2008;26/08/1977;AW\alice-ciccu;alice-ciccu@adventureworks.com;333-555-0173;M;Alice Ciccu;333-555-0173;FALSE;F;1;11;95;67;TRUE;FALSE;Production;
39;9;276751903;309738752;Simon;Rapier;D;FALSE;Production Technician - WC60;08/07/2008;15/12/1989;AW\simon-rapier;simon-rapier@adventureworks.com;963-555-0134;S;Simon Rapier;963-555-0134;FALSE;M;1;12,45;38;39;TRUE;FALSE;Production;
40;23;630184120;277173473;Jinghao;Liu;K;FALSE;Production Supervisor - WC50;08/07/2008;05/09/1988;AW\jinghao-liu;jinghao-liu@adventureworks.com;794-555-0159;S;Jinghao Liu;794-555-0159;FALSE;M;2;25;77;58;TRUE;FALSE;Production;
41;186;545337468;862951447;Michael;Hines;T;FALSE;Production Technician - WC20;09/07/2008;15/12/1989;AW\michael-hines;michael-hines@adventureworks.com;218-555-0126;S;Michael Hines;218-555-0126;FALSE;M;1;14;20;30;TRUE;FALSE;Production;
42;163;713403643;551834634;Yvonne;McKay;S;FALSE;Production Technician - WC45;09/07/2008;13/11/1988;AW\yvonne-mckay;yvonne-mckay@adventureworks.com;286-555-0189;M;Yvonne McKay;286-555-0189;FALSE;F;1;10;79;59;TRUE;FALSE;Production;
43;204;885055826;398223854;Peng;Wu;J;FALSE;Quality Assurance Supervisor;09/07/2008;17/10/1975;AW\peng-wu;peng-wu@adventureworks.com;164-555-0164;M;Peng Wu;164-555-0164;TRUE;M;2;21,6346;81;60;TRUE;FALSE;Quality Assurance;
44;112;441044382;295847284;Jean;Trenary;E;FALSE;Information Services Manager;11/07/2008;13/07/1975;AW\jean-trenary;jean-trenary@adventureworks.com;685-555-0120;S;Jean Trenary;685-555-0120;TRUE;F;2;50,4808;65;52;TRUE;FALSE;Information Services;
45;76;718299860;778552911;Russell;Hunter;;FALSE;Production Technician - WC50;12/07/2008;25/06/1972;AW\russell-hunter;russell-hunter@adventureworks.com;786-555-0144;M;Russell Hunter;786-555-0144;FALSE;M;1;11;6;23;TRUE;FALSE;Production;
46;23;685233686;277173473;A. Scott;Wright;;FALSE;Master Scheduler;12/07/2008;17/04/1968;AW\a-scott-wright;a-scott-wright@adventureworks.com;992-555-0194;S;A. Scott Wright;992-555-0194;FALSE;M;2;23,5577;44;42;TRUE;FALSE;Production Control;
47;214;295971920;634335025;Fred;Northup;T;FALSE;Production Technician - WC40;12/07/2008;23/01/1989;AW\fred-northup;fred-northup@adventureworks.com;818-555-0192;S;Fred Northup;818-555-0192;FALSE;M;1;15;47;43;TRUE;FALSE;Production;
48;7;95958330;24756624;Sariya;Harnpadoungsataya;E;FALSE;Marketing Specialist;12/07/2008;19/12/1986;AW\sariya-harnpadoungsataya;sariya-harnpadoungsataya@adventureworks.com;399-555-0176;S;Sariya Harnpadoungsataya;399-555-0176;FALSE;M;2;14,4231;45;42;TRUE;FALSE;Marketing;
49;32;332040978;535145551;Willis;Johnson;T;FALSE;Recruiter;13/07/2008;15/02/1978;AW\willis-johnson;willis-johnson@adventureworks.com;778-555-0141;S;Willis Johnson;778-555-0141;FALSE;M;2;18,2692;49;44;TRUE;FALSE;Human Resources;
50;40;857651804;630184120;Jun;Cao;T;FALSE;Production Technician - WC50;14/07/2008;03/02/1979;AW\jun-cao;jun-cao@adventureworks.com;299-555-0113;S;Jun Cao;299-555-0113;FALSE;M;1;11;90;65;TRUE;FALSE;Production;
51;222;553069203;141165819;Christian;Kleinerman;E;FALSE;Maintenance Supervisor;14/07/2008;18/08/1975;AW\christian-kleinerman;christian-kleinerman@adventureworks.com;846-555-0157;M;Christian Kleinerman;846-555-0157;TRUE;M;2;20,4327;92;66;TRUE;FALSE;Facilities and Maintenance;
52;188;351069889;60114406;Susan;Metters;A;FALSE;Production Technician - WC30;14/07/2008;31/10/1982;AW\susan-metters;susan-metters@adventureworks.com;639-555-0164;S;Susan Metters;639-555-0164;FALSE;F;1;9,5;31;35;TRUE;FALSE;Production;
53;23;370989364;277173473;Reuben;D'sa;H;FALSE;Production Supervisor - WC40;15/07/2008;27/03/1987;AW\reuben-dsa;reuben-dsa@adventureworks.com;191-555-0112;M;Reuben D'sa;191-555-0112;FALSE;M;2;25;72;56;TRUE;FALSE;Production;
54;126;275962311;712885347;Kirk;Koenigsbauer;J;FALSE;Production Technician - WC45;15/07/2008;06/09/1984;AW\kirk-koenigsbauer;kirk-koenigsbauer@adventureworks.com;669-555-0150;S;Kirk Koenigsbauer;669-555-0150;FALSE;M;1;10;74;57;TRUE;FALSE;Production;
55;20;36151748;494170342;David;Ortiz;J;FALSE;Production Technician - WC60;15/07/2008;29/07/1984;SQLSERVER2017\LabUser;david-ortiz@adventureworks.com;712-555-0119;M;David Ortiz;712-555-0119;FALSE;M;1;12,45;33;36;TRUE;FALSE;Production;
56;92;540688287;345106466;Tengiz;Kharatishvili;N;FALSE;Control Specialist;16/07/2008;26/11/1989;AW\tengiz-kharatishvili;tengiz-kharatishvili@adventureworks.com;910-555-0116;S;Tengiz Kharatishvili;910-555-0116;FALSE;M;2;16,8269;76;58;TRUE;FALSE;Document Control;
57;147;568596888;319472946;Hanying;Feng;P;FALSE;Production Technician - WC20;16/07/2008;16/05/1974;AW\hanying-feng;hanying-feng@adventureworks.com;319-555-0139;S;Hanying Feng;319-555-0139;FALSE;M;1;14;15;27;TRUE;FALSE;Production;
58;214;918737118;634335025;Kevin;Liu;H;FALSE;Production Technician - WC40;17/07/2008;25/07/1985;AW\kevin-liu;kevin-liu@adventureworks.com;714-555-0138;S;Kevin Liu;714-555-0138;FALSE;M;1;15;58;49;TRUE;FALSE;Production;
59;18;801758002;446466105;Annik;Stahl;O;FALSE;Production Technician - WC60;17/07/2008;26/07/1976;AW\annik-stahl;annik-stahl@adventureworks.com;499-555-0125;M;Annik Stahl;499-555-0125;FALSE;M;1;12,45;17;28;TRUE;FALSE;Production;
60;40;415823523;630184120;Suroor;Fatima;R;FALSE;Production Technician - WC50;17/07/2008;25/09/1977;AW\suroor-fatima;suroor-fatima@adventureworks.com;932-555-0161;S;Suroor Fatima;932-555-0161;FALSE;M;1;11;93;66;TRUE;FALSE;Production;
61;142;363923697;30845;Deborah;Poe;E;FALSE;Accounts Receivable Specialist;18/07/2008;05/10/1975;AW\deborah-poe;deborah-poe@adventureworks.com;602-555-0194;M;Deborah Poe;602-555-0194;FALSE;F;2;19;60;50;TRUE;FALSE;Finance;
62;76;674171828;778552911;Jim;Scardelis;H;FALSE;Production Technician - WC50;19/07/2008;08/04/1986;AW\jim-scardelis;jim-scardelis@adventureworks.com;679-555-0113;M;Jim Scardelis;679-555-0113;FALSE;M;1;11;1;20;TRUE;FALSE;Production;
63;177;138280935;578935259;Carole;Poland;M;FALSE;Production Technician - WC30;19/07/2008;19/05/1983;AW\carole-poland;carole-poland@adventureworks.com;688-555-0192;M;Carole Poland;688-555-0192;FALSE;F;1;9,5;42;41;TRUE;FALSE;Production;
64;188;476115505;60114406;George;Li;Z;FALSE;Production Technician - WC30;21/07/2008;14/11/1976;AW\george-li;george-li@adventureworks.com;518-555-0199;M;George Li;518-555-0199;FALSE;M;1;9,5;26;33;TRUE;FALSE;Production;
65;89;502058701;750905084;Gary;Yukish;W;FALSE;Production Technician - WC40;22/07/2008;15/12/1987;AW\gary-yukish;gary-yukish@adventureworks.com;901-555-0125;S;Gary Yukish;901-555-0125;FALSE;M;1;15;69;54;TRUE;FALSE;Production;
66;23;7201901;277173473;Cristian;Petculescu;K;FALSE;Production Supervisor - WC10;22/07/2008;10/11/1983;AW\cristian-petculescu;cristian-petculescu@adventureworks.com;434-555-0133;M;Cristian Petculescu;434-555-0133;FALSE;M;2;25;67;53;TRUE;FALSE;Production;
67;147;97728960;319472946;Raymond;Sam;K;FALSE;Production Technician - WC20;23/07/2008;30/09/1966;AW\raymond-sam;raymond-sam@adventureworks.com;226-555-0197;M;Raymond Sam;226-555-0197;FALSE;M;1;14;10;25;TRUE;FALSE;Production;
68;44;525932996;441044382;Janaina;Bueno;Barreiro Gambaro;FALSE;Application Specialist;23/07/2008;30/08/1984;AW\janaina-bueno;janaina-bueno@adventureworks.com;623-555-0155;M;Janaina Bueno;623-555-0155;TRUE;F;2;27,4038;71;55;TRUE;FALSE;Information Services;
69;16;843479922;233069302;Bob;Hohman;N;FALSE;Production Technician - WC50;24/07/2008;16/03/1979;AW\bob-hohman;bob-hohman@adventureworks.com;611-555-0116;S;Bob Hohman;611-555-0116;FALSE;M;1;11;12;26;TRUE;FALSE;Production;
70;214;370487086;634335025;Shammi;Mohamed;G;FALSE;Production Technician - WC40;24/07/2008;04/05/1980;AW\shammi-mohamed;shammi-mohamed@adventureworks.com;793-555-0179;M;Shammi Mohamed;793-555-0179;FALSE;M;1;15;53;46;TRUE;FALSE;Production;
71;40;54759846;630184120;Linda;Moschell;K;FALSE;Production Technician - WC50;25/07/2008;14/02/1987;AW\linda-moschell;linda-moschell@adventureworks.com;612-555-0171;M;Linda Moschell;612-555-0171;FALSE;F;1;11;96;68;TRUE;FALSE;Production;
72;32;619308550;535145551;Mindy;Martin;C;FALSE;Benefits Specialist;25/07/2008;20/06/1984;AW\mindy-martin;mindy-martin@adventureworks.com;522-555-0147;M;Mindy Martin;522-555-0147;FALSE;F;2;16,5865;51;45;TRUE;FALSE;Human Resources;
73;143;121491555;184188301;Wendy;Kahn;Beth;FALSE;Finance Manager;25/07/2008;11/05/1984;AW\wendy-kahn;wendy-kahn@adventureworks.com;248-555-0134;S;Wendy Kahn;248-555-0134;TRUE;F;2;43,2692;55;47;TRUE;FALSE;Finance;
74;87;420776180;521265716;Kim;Ralls;T;FALSE;Stocker;26/07/2008;29/11/1983;AW\kim-ralls;kim-ralls@adventureworks.com;309-555-0129;S;Kim Ralls;309-555-0129;FALSE;F;1;9;98;69;TRUE;FALSE;Shipping and Receiving;
75;138;604664374;386315192;Sandra;Reátegui Alayo;;FALSE;Production Technician - WC30;26/07/2008;05/06/1975;AW\sandra-reategui;sandra-reategui-alayo@adventureworks.com;896-555-0168;M;Sandra Reátegui Alayo;896-555-0168;FALSE;F;1;9,5;37;38;TRUE;FALSE;Production;
76;23;778552911;277173473;Kok-Ho;Loh;T;FALSE;Production Supervisor - WC50;27/07/2008;27/11/1979;AW\kok-ho-loh;kok-ho-loh@adventureworks.com;999-555-0155;S;Kok-Ho Loh;999-555-0155;FALSE;M;2;25;78;59;TRUE;FALSE;Production;
77;163;435234965;551834634;Douglas;Hite;B;FALSE;Production Technician - WC45;27/07/2008;24/06/1985;AW\douglas-hite;douglas-hite@adventureworks.com;808-555-0172;M;Douglas Hite;808-555-0172;FALSE;M;1;10;80;60;TRUE;FALSE;Production;
78;9;339712426;309738752;James;Kramer;D;FALSE;Production Technician - WC60;27/07/2008;23/02/1984;AW\james-kramer;james-kramer@adventureworks.com;119-555-0117;M;James Kramer;119-555-0117;FALSE;M;1;12,45;39;39;TRUE;FALSE;Production;
79;43;403414852;885055826;Sean;Alexander;P;FALSE;Quality Assurance Technician;28/07/2008;05/10/1975;AW\sean-alexander;sean-alexander@adventureworks.com;420-555-0173;S;Sean Alexander;420-555-0173;FALSE;M;2;10,5769;82;61;TRUE;FALSE;Quality Assurance;
80;186;368920189;862951447;Nitin;Mirchandani;S;FALSE;Production Technician - WC20;28/07/2008;01/07/1986;AW\nitin-mirchandani;nitin-mirchandani@adventureworks.com;143-555-0173;S;Nitin Mirchandani;143-555-0173;FALSE;M;1;14;21;30;TRUE;FALSE;Production;
81;162;811994146;134969118;Diane;Margheim;L;FALSE;Research and Development Engineer;29/07/2008;03/01/1986;AW\diane-margheim;diane-margheim@adventureworks.com;815-555-0138;S;Diane Margheim;815-555-0138;TRUE;F;2;40,8654;62;51;TRUE;FALSE;Research and Development;
82;18;330211482;446466105;Rebecca;Laszlo;A;FALSE;Production Technician - WC60;29/07/2008;04/02/1988;AW\rebecca-laszlo;rebecca-laszlo@adventureworks.com;314-555-0113;M;Rebecca Laszlo;314-555-0113;FALSE;F;1;12,45;23;31;TRUE;FALSE;Production;
83;214;632092621;634335025;Rajesh;Patel;M;FALSE;Production Technician - WC40;31/07/2008;04/05/1977;AW\rajesh-patel;rajesh-patel@adventureworks.com;373-555-0137;M;Rajesh Patel;373-555-0137;FALSE;M;1;15;48;44;TRUE;FALSE;Production;
84;32;264306399;535145551;Vidur;Luthra;X;FALSE;Recruiter;01/08/2008;01/03/1984;AW\vidur-luthra;vidur-luthra@adventureworks.com;153-555-0186;S;Vidur Luthra;153-555-0186;FALSE;M;2;18,2692;50;45;TRUE;FALSE;Human Resources;
85;40;981597097;630184120;John;Evans;P;FALSE;Production Technician - WC50;01/08/2008;29/12/1977;AW\john-evans;john-evans@adventureworks.com;172-555-0130;S;John Evans;172-555-0130;FALSE;M;1;11;91;65;TRUE;FALSE;Production;
86;9;693325305;309738752;Nancy;Anderson;A;FALSE;Production Technician - WC60;02/08/2008;19/06/1988;AW\nancy-anderson;nancy-anderson@adventureworks.com;970-555-0118;M;Nancy Anderson;970-555-0118;FALSE;F;1;12,45;34;37;TRUE;FALSE;Production;
87;23;521265716;277173473;Pilar;Ackerman;G;FALSE;Shipping and Receiving Supervisor;02/08/2008;09/04/1972;AW\pilar-ackerman;pilar-ackerman@adventureworks.com;577-555-0185;S;Pilar Ackerman;577-555-0185;TRUE;M;2;19,2308;93;66;TRUE;FALSE;Shipping and Receiving;
88;188;746373306;60114406;David;Yalovsky;A;FALSE;Production Technician - WC30;02/08/2008;03/03/1981;SQLSERVER2017\LabUser;david-yalovsky@adventureworks.com;373-555-0142;S;David Yalovsky;373-555-0142;FALSE;M;1;9,5;32;36;TRUE;FALSE;Production;
89;23;750905084;277173473;David;Hamilton;P;FALSE;Production Supervisor - WC40;03/08/2008;30/01/1983;SQLSERVER2017\LabUser;david-hamilton@adventureworks.com;986-555-0177;S;David Hamilton;986-555-0177;FALSE;M;2;25;73;56;TRUE;FALSE;Production;
90;126;514829225;712885347;Laura;Steele;C;FALSE;Production Technician - WC45;03/08/2008;25/07/1980;AW\laura-steele;laura-steele@adventureworks.com;777-555-0141;S;Laura Steele;777-555-0141;FALSE;F;1;10;75;57;TRUE;FALSE;Production;
91;18;750246141;446466105;Margie;Shoop;W;FALSE;Production Technician - WC60;04/08/2008;18/12/1985;AW\margie-shoop;margie-shoop@adventureworks.com;818-555-0128;M;Margie Shoop;818-555-0128;FALSE;F;1;12,45;18;29;TRUE;FALSE;Production;
92;204;345106466;398223854;Zainal;Arifin;T;FALSE;Document Control Manager;04/08/2008;30/08/1975;AW\zainal-arifin;zainal-arifin@adventureworks.com;204-555-0115;M;Zainal Arifin;204-555-0115;FALSE;M;2;17,7885;77;58;TRUE;FALSE;Document Control;
93;214;19312190;634335025;Lorraine;Nay;O;FALSE;Production Technician - WC40;04/08/2008;26/06/1988;AW\lorraine-nay;lorraine-nay@adventureworks.com;845-555-0184;M;Lorraine Nay;845-555-0184;FALSE;F;1;15;49;44;TRUE;FALSE;Production;
94;147;212801092;319472946;Fadi;Fakhouri;K;FALSE;Production Technician - WC20;04/08/2008;15/09/1988;AW\fadi-fakhouri;fadi-fakhouri@adventureworks.com;935-555-0116;S;Fadi Fakhouri;935-555-0116;FALSE;M;1;14;16;28;TRUE;FALSE;Production;
95;53;769680433;370989364;Ryan;Cornelsen;L;FALSE;Production Technician - WC40;05/08/2008;12/01/1972;AW\ryan-cornelsen;ryan-cornelsen@adventureworks.com;208-555-0114;M;Ryan Cornelsen;208-555-0114;FALSE;M;1;15;59;49;TRUE;FALSE;Production;
96;142;60517918;30845;Candy;Spoon;L;FALSE;Accounts Receivable Specialist;06/08/2008;23/09/1975;AW\candy-spoon;candy-spoon@adventureworks.com;920-555-0177;S;Candy Spoon;920-555-0177;FALSE;F;2;19;61;50;TRUE;FALSE;Finance;
97;76;431859843;778552911;Nuan;Yu;;FALSE;Production Technician - WC50;06/08/2008;27/10/1978;AW\nuan-yu;nuan-yu@adventureworks.com;913-555-0184;S;Nuan Yu;913-555-0184;FALSE;M;1;11;2;21;TRUE;FALSE;Production;
98;46;621209647;685233686;William;Vong;S;FALSE;Scheduling Assistant;07/08/2008;06/06/1981;AW\william-vong;william-vong@adventureworks.com;148-555-0145;M;William Vong;148-555-0145;FALSE;M;2;16;45;42;TRUE;FALSE;Production Control;
99;46;621209647;685233686;William;Vong;S;FALSE;Scheduling Assistant;07/08/2008;06/06/1981;AW\william-vong;william-vong@adventureworks.com;148-555-0145;M;William Vong;148-555-0145;FALSE;M;2;16;45;42;TRUE;FALSE;Production Control;
100;177;420023788;578935259;Bjorn;Rettig;M;FALSE;Production Technician - WC30;07/08/2008;06/06/1989;AW\bjorn-rettig;bjorn-rettig@adventureworks.com;199-555-0117;S;Bjorn Rettig;199-555-0117;FALSE;M;1;9,5;43;41;TRUE;FALSE;Production;
